"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
353.15,0.0845,0.0,0.0,+-0.01,+-0.001,+-0.001,+-0.001
353.33,0.093,0.007,0.054,+-0.01,+-0.001,+-0.001,+-0.001
353.21,0.096,0.018,0.136,+-0.01,+-0.001,+-0.001,+-0.001
353.2,0.122,0.054,0.31,+-0.01,+-0.001,+-0.001,+-0.001
353.26,0.132,0.074,0.374,+-0.01,+-0.001,+-0.001,+-0.001
353.24,0.153,0.131,0.482,+-0.01,+-0.001,+-0.001,+-0.001
353.19,0.167,0.188,0.563,+-0.01,+-0.001,+-0.001,+-0.001
353.14,0.175,0.228,0.598,+-0.01,+-0.001,+-0.001,+-0.001
353.17,0.186,0.293,0.627,+-0.01,+-0.001,+-0.001,+-0.001
353.16,0.195,0.364,0.668,+-0.01,+-0.001,+-0.001,+-0.001
353.12,0.203,0.455,0.71,+-0.01,+-0.001,+-0.001,+-0.001
353.18,0.21,0.538,0.731,+-0.01,+-0.001,+-0.001,+-0.001
353.18,0.214,0.605,0.744,+-0.01,+-0.001,+-0.001,+-0.001
353.21,0.22,0.721,0.804,+-0.01,+-0.001,+-0.001,+-0.001
353.16,0.222,0.793,0.832,+-0.01,+-0.001,+-0.001,+-0.001
353.16,0.224,0.848,0.86,+-0.01,+-0.001,+-0.001,+-0.001
353.17,0.224,0.887,0.889,+-0.01,+-0.001,+-0.001,+-0.001
353.16,0.224,0.911,0.905,+-0.01,+-0.001,+-0.001,+-0.001
353.2,0.224,0.94,0.927,+-0.01,+-0.001,+-0.001,+-0.001
353.19,0.2232,0.97,0.955,+-0.01,+-0.001,+-0.001,+-0.001
353.16,0.2232,0.991,0.988,+-0.01,+-0.001,+-0.001,+-0.001
353.15,0.2214,1.0,1.0,+-0.01,+-0.001,+-0.001,+-0.001
