"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,37.32,0.0,0.0,,,0.0005,0.0017
313.15,41.182,0.0732,0.1511,,,0.0005,0.0017
313.15,44.468,0.1614,0.275,,,0.0005,0.0017
313.15,46.26,0.2288,0.3461,,,0.0005,0.0017
313.15,47.506,0.2824,0.3944,,,0.0005,0.0017
313.15,48.744,0.3615,0.4538,,,0.0005,0.0017
313.15,49.538,0.4304,0.5007,,,0.0005,0.0017
313.15,50.128,0.5258,0.5578,,,0.0005,0.0017
313.15,50.207,0.6091,0.6111,,,0.0005,0.0017
313.15,49.984,0.7079,0.6777,,,0.0005,0.0017
313.15,49.015,0.817,0.7566,,,0.0005,0.0017
313.15,48.031,0.8744,0.8117,,,0.0005,0.0017
313.15,45.949,0.9525,0.9108,,,0.0005,0.0017
313.15,44.964,0.978,0.954,,,0.0005,0.0017
313.15,43.853,1.0,1.0,,,0.0005,0.0017
