"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
380.15,17.58,0.0,0.0,0.05,,0.005,0.005
380.02,24.27,0.02,0.19,0.05,,0.005,0.005
380.2,31.92,0.037,0.319,0.05,,0.005,0.005
380.26,39.44,0.051,0.4,0.05,,0.005,0.005
380.07,51.64,0.077,0.483,0.05,,0.005,0.005
380.09,65.5,0.109,0.54,0.05,,0.005,0.005
380.21,82.74,0.153,0.573,0.05,,0.005,0.005
380.2,103.42,0.211,0.586,0.05,,0.005,0.005
380.2,124.04,0.287,0.563,0.05,,0.005,0.005
380.3,130.66,0.317,0.544,0.05,,0.005,0.005
380.25,134.45,0.349,0.514,0.05,,0.005,0.005
380.35,135.76,0.373,0.5,0.05,,0.005,0.005
