"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
-20,8.81,1.0,,+-0.05,+-0.05,,
-20,24.219,0.9683,,+-0.05,+-0.05,,
-20,34.444,0.9461,,+-0.05,+-0.05,,
-20,63.024,0.8792,,+-0.05,+-0.05,,
-20,93.503,0.7988,,+-0.05,+-0.05,,
-20,125.41,0.7051,,+-0.05,+-0.05,,
-20,159.94,0.5851,,+-0.05,+-0.05,,
-20,163.67,0.5765,,+-0.05,+-0.05,,
-20,185.13,0.4867,,+-0.05,+-0.05,,
-20,193.78,0.454,,+-0.05,+-0.05,,
-20,213.65,0.368,,+-0.05,+-0.05,,
-20,250.89,0.2076,,+-0.05,+-0.05,,
-20,274.82,0.1115,,+-0.05,+-0.05,,
-20,292.9,0.0458,,+-0.05,+-0.05,,
-20,300.83,0.0164,,+-0.05,+-0.05,,
-20,306.04,0.0,,+-0.05,+-0.05,,
