"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
39.5,1.198,0.1076,0.997,+-0.1,+-0.25%,,
39.5,2.396,0.2218,0.9971,+-0.1,+-0.25%,,
39.5,2.421,0.227,,+-0.1,+-0.25%,,
39.5,2.918,0.2774,,+-0.1,+-0.25%,,
39.5,4.113,0.4042,,+-0.1,+-0.25%,,
39.5,4.149,0.4099,,+-0.1,+-0.25%,,
39.5,4.126,0.4152,0.9972,+-0.1,+-0.25%,,
39.5,4.649,0.4727,0.9975,+-0.1,+-0.25%,,
39.5,4.979,0.4965,,+-0.1,+-0.25%,,
39.5,5.148,0.5299,0.9969,+-0.1,+-0.25%,,
39.5,6.267,0.681,0.9955,+-0.1,+-0.25%,,
39.5,6.509,0.7112,,+-0.1,+-0.25%,,
39.5,7.214,0.8586,0.9943,+-0.1,+-0.25%,,
39.5,7.285,0.8674,,+-0.1,+-0.25%,,
