"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
278.68,5.56,0.1499,0.9909,+-0.005,+-0.11,,
278.68,12.55,0.2889,0.9968,+-0.005,+-0.11,,
278.68,20.68,0.4101,0.9985,+-0.005,+-0.11,,
278.68,31.69,0.5354,0.9993,+-0.005,+-0.11,,
278.68,41.29,0.6284,0.9996,+-0.005,+-0.11,,
278.68,49.11,0.6985,0.9998,+-0.005,+-0.11,,
278.68,55.6,0.756,0.9999,+-0.005,+-0.11,,
278.68,62.65,0.8189,0.9999,+-0.005,+-0.11,,
278.68,67.2,0.8615,0.9999,+-0.005,+-0.11,,
278.68,70.03,0.8884,0.9999,+-0.005,+-0.11,,
278.68,79.75,1.0,1.0,+-0.005,+-0.11,,
