"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
318.15,225.85,0.0,0.0,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,216.07,0.1407,0.0287,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,211.56,0.208,0.0334,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,210.74,0.2201,0.0343,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,204.83,0.3068,0.0414,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,196.9,0.3935,0.05,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,188.32,0.4702,0.0581,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,181.69,0.5248,0.0641,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,178.01,0.5557,0.0675,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,171.84,0.6071,0.0734,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,169.76,0.6229,0.0753,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,160.34,0.6869,0.0842,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,144.09,0.7647,0.1003,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,135.99,0.7949,0.1097,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,110.85,0.8608,0.1434,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,50.25,0.9689,0.3379,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,29.51,0.9827,0.5426,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,12.75,1.0,1.0,+-0.1,+-0.50,+-0.0001,+-0.0001
