"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
25,89.03,0.0862,,+-0.002,+-0.005,,
25,99.64,0.0989,,+-0.002,+-0.005,,
25,134.81,0.1462,,+-0.002,+-0.005,,
25,146.54,0.1648,,+-0.002,+-0.005,,
25,187.77,0.241,,+-0.002,+-0.005,,
25,189.58,0.2444,,+-0.002,+-0.005,,
25,216.46,0.3128,,+-0.002,+-0.005,,
25,241.47,0.397,,+-0.002,+-0.005,,
25,249.28,0.4301,,+-0.002,+-0.005,,
25,279.56,0.6182,,+-0.002,+-0.005,,
25,285.96,0.6725,,+-0.002,+-0.005,,
25,291.81,0.7266,,+-0.002,+-0.005,,
25,298.93,0.7998,,+-0.002,+-0.005,,
25,305.18,0.8712,,+-0.002,+-0.005,,
