"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-116.0,1.627,0.0,0.0,0.1%,0.5%,,
-116.0,300.0,0.4379,0.9915,0.1%,0.5%,,
-116.0,375.0,0.5587,0.99215,0.1%,0.5%,,
-116.0,450.0,0.6918,0.9927,0.1%,0.5%,,
-116.0,520.0,0.8157,0.993,0.1%,0.5%,,
-116.0,550.0,0.8695,0.9932,0.1%,0.5%,,
-116.0,580.0,0.9161,0.99365,0.1%,0.5%,,
-116.0,610.0,0.95,0.9947,0.1%,0.5%,,
-116.0,639.0,0.9764,0.996,0.1%,0.5%,,
-116.0,651.0,0.9851,0.9969,0.1%,0.5%,,
-116.0,663.0,0.9924,0.9981,0.1%,0.5%,,
-116.0,669.0,0.9958,0.99861,0.1%,0.5%,,
-116.0,671.0,1.0,1.0,0.1%,0.5%,,
