"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
308.15,0.82,0.162,0.9317,,,0.0005,0.0005
308.15,1.32,0.2252,0.9467,,,0.0005,0.0005
308.15,1.57,0.2649,0.9651,,,0.0005,0.0005
308.15,2.09,0.3349,0.9723,,,0.0005,0.0005
308.15,2.58,0.408,0.979,,,0.0005,0.0005
308.15,3.13,0.4787,0.9824,,,0.0005,0.0005
308.15,3.65,0.5476,0.9846,,,0.0005,0.0005
308.15,4.0,0.6006,0.9845,,,0.0005,0.0005
308.15,4.39,0.6516,0.9854,,,0.0005,0.0005
308.15,4.87,0.7026,0.9894,,,0.0005,0.0005
308.15,5.16,0.7497,0.9892,,,0.0005,0.0005
308.15,5.68,0.8017,0.9904,,,0.0005,0.0005
308.15,6.01,0.8319,0.9902,,,0.0005,0.0005
308.15,6.31,0.863,0.99,,,0.0005,0.0005
308.15,6.66,0.892,0.9826,,,0.0005,0.0005
308.15,7.01,0.9256,0.9748,,,0.0005,0.0005
308.15,7.17,0.9336,0.9734,,,0.0005,0.0005
