"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
79.6,760,0.0,0.0,+-0.1,+-0.5,,
79.1,760,0.015,0.032,+-0.1,+-0.5,,
77.3,760,0.065,0.13,+-0.1,+-0.5,,
74.9,760,0.12,0.242,+-0.1,+-0.5,,
72.9,760,0.169,0.329,+-0.1,+-0.5,,
70.2,760,0.244,0.442,+-0.1,+-0.5,,
68.4,760,0.285,0.507,+-0.1,+-0.5,,
66.7,760,0.339,0.566,+-0.1,+-0.5,,
65.5,760,0.371,0.604,+-0.1,+-0.5,,
62.9,760,0.448,0.685,+-0.1,+-0.5,,
61.1,760,0.504,0.728,+-0.1,+-0.5,,
59.6,760,0.557,0.773,+-0.1,+-0.5,,
58.1,760,0.6,0.804,+-0.1,+-0.5,,
56.1,760,0.67,0.855,+-0.1,+-0.5,,
53.9,760,0.76,0.9,+-0.1,+-0.5,,
51.8,760,0.853,0.938,+-0.1,+-0.5,,
49.8,760,0.945,0.974,+-0.1,+-0.5,,
49.2,760,0.973,0.983,+-0.1,+-0.5,,
48.3,760,1.0,1.0,+-0.1,+-0.5,,
