"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,188.7,1.0,1.0,0.02,0.3,,
100,200.0,0.9919,0.9528,0.02,0.3,,
100,250.0,0.9505,0.7719,0.02,0.3,,
100,300.0,0.9074,0.6489,0.02,0.3,,
100,350.0,0.8639,0.563,0.02,0.3,,
100,400.0,0.8201,0.5006,0.02,0.3,,
100,450.0,0.7752,0.4519,0.02,0.3,,
100,500.0,0.7291,0.4124,0.02,0.3,,
100,550.0,0.6809,0.3787,0.02,0.3,,
100,600.0,0.6307,0.3486,0.02,0.3,,
100,650.0,0.5788,0.3219,0.02,0.3,,
100,700.0,0.5265,0.2987,0.02,0.3,,
100,750.0,0.4728,0.2762,0.02,0.3,,
100,800.0,0.4186,0.2552,0.02,0.3,,
100,850.0,0.3654,0.2353,0.02,0.3,,
100,900.0,0.3139,0.2199,0.02,0.3,,
100,950.0,0.2637,0.2092,0.02,0.3,,
100,1000.0,0.2098,0.2027,0.02,0.3,,
100,1002.5,0.205,0.205,0.02,0.3,,
100,990.0,,0.202,0.02,0.3,,
