"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
349.9,6.4,0.0,0.0,,,,
349.9,17.6,0.069,0.625,,,,
349.9,32.0,0.135,,,,,
349.9,32.9,,0.767,,,,
349.9,33.7,,0.767,,,,
349.9,47.5,0.203,0.82,,,,
349.9,64.4,0.263,0.85,,,,
349.9,79.3,0.32,0.872,,,,
349.9,92.9,0.373,0.877,,,,
349.9,106.6,0.414,0.886,,,,
349.9,121.0,0.489,0.881,,,,
349.9,135.3,0.572,0.874,,,,
349.9,149.4,0.684,0.87,,,,
349.9,156.2,0.754,0.869,,,,
349.9,163.1,1.0,1.0,,,,
349.9,167.6,0.979,0.941,,,,
349.9,167.7,0.982,0.942,,,,
349.9,169.0,0.974,0.936,,,,
