"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
-30.0,1097.64,0.0,0.0,,,,
-30.0,1067.99,0.0329,0.0,,,,
-30.0,1047.3,0.0488,0.0,,,,
-30.0,979.74,0.0973,0.0,,,,
-30.0,831.5,0.2048,0.0001,,,,
-30.0,682.44,0.315,0.0002,,,,
-30.0,500.69,0.4573,0.0004,,,,
-30.0,491.73,0.4684,0.0004,,,,
-30.0,396.86,0.5426,0.0005,,,,
-30.0,384.72,0.5666,0.0006,,,,
-30.0,230.01,0.7059,0.0012,,,,
-30.0,156.1,0.7936,0.002,,,,
-30.0,72.39,0.8987,0.0047,,,,
-30.0,44.47,0.937,0.0079,,,,
-30.0,28.82,0.9587,0.0123,,,,
-30.0,0.36,1.0,1.0,,,,
