"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
351.5,101.32,0.0137,0.0046,+-0.02,,,
351.63,101.32,0.0417,0.0117,+-0.02,,,
352.32,101.32,0.0744,0.0195,+-0.02,,,
352.88,101.32,0.1037,0.0257,+-0.02,,,
353.11,101.32,0.1203,0.0305,+-0.02,,,
353.89,101.32,0.153,0.0373,+-0.02,,,
354.53,101.32,0.1877,0.0442,+-0.02,,,
355.28,101.32,0.2264,0.051,+-0.02,,,
356.25,101.32,0.2652,0.0592,+-0.02,,,
357.55,101.32,0.3156,0.0697,+-0.02,,,
358.94,101.32,0.359,0.0804,+-0.02,,,
361.35,101.32,0.4255,0.0992,+-0.02,,,
365.5,101.32,0.5316,0.1333,+-0.02,,,
367.52,101.32,0.5732,0.1493,+-0.02,,,
369.61,101.32,0.6114,0.1662,+-0.02,,,
371.25,101.32,0.6431,0.1807,+-0.02,,,
373.16,101.32,0.6725,0.1948,+-0.02,,,
377.29,101.32,0.7273,0.235,+-0.02,,,
381.0,101.32,0.7688,0.2713,+-0.02,,,
383.31,101.32,0.7903,0.2971,+-0.02,,,
387.03,101.32,0.8254,0.3439,+-0.02,,,
391.01,101.32,0.8558,0.3942,+-0.02,,,
395.0,101.32,0.8828,0.4479,+-0.02,,,
401.05,101.32,0.9173,0.5424,+-0.02,,,
405.73,101.32,0.9409,0.6321,+-0.02,,,
411.7,101.32,0.9702,0.7857,+-0.02,,,
