"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
56.24,751.5,0.9,,+-0.05,+-1,1%,1%
61.11,889.6,0.9,,+-0.05,+-1,1%,1%
67.31,1089.5,0.9,,+-0.05,+-1,1%,1%
72.47,1283.0,0.9,,+-0.05,+-1,1%,1%
77.24,1486.5,0.9,,+-0.05,+-1,1%,1%
57.63,763.1,0.8,,+-0.05,+-1,1%,1%
62.28,892.5,0.8,,+-0.05,+-1,1%,1%
67.93,1077.6,0.8,,+-0.05,+-1,1%,1%
73.34,1290.0,0.8,,+-0.05,+-1,1%,1%
78.34,1492.9,0.8,,+-0.05,+-1,1%,1%
58.02,751.0,0.7,,+-0.05,+-1,1%,1%
62.9,890.1,0.7,,+-0.05,+-1,1%,1%
69.08,1089.5,0.7,,+-0.05,+-1,1%,1%
74.16,1283.4,0.7,,+-0.05,+-1,1%,1%
78.81,1485.1,0.7,,+-0.05,+-1,1%,1%
58.71,751.5,0.6,,+-0.05,+-1,1%,1%
63.69,889.4,0.6,,+-0.05,+-1,1%,1%
69.99,1088.5,0.6,,+-0.05,+-1,1%,1%
75.13,1283.4,0.6,,+-0.05,+-1,1%,1%
79.78,1488.9,0.6,,+-0.05,+-1,1%,1%
60.14,762.1,0.5,,+-0.05,+-1,1%,1%
65.16,904.8,0.5,,+-0.05,+-1,1%,1%
71.21,1102.3,0.5,,+-0.05,+-1,1%,1%
76.34,1294.5,0.5,,+-0.05,+-1,1%,1%
80.98,1493.6,0.5,,+-0.05,+-1,1%,1%
60.91,762.3,0.4,,+-0.05,+-1,1%,1%
66.06,904.1,0.4,,+-0.05,+-1,1%,1%
72.19,1102.6,0.4,,+-0.05,+-1,1%,1%
77.33,1294.8,0.4,,+-0.05,+-1,1%,1%
81.97,1493.4,0.4,,+-0.05,+-1,1%,1%
61.6,761.2,0.3,,+-0.05,+-1,1%,1%
66.66,902.8,0.3,,+-0.05,+-1,1%,1%
72.66,1101.5,0.3,,+-0.05,+-1,1%,1%
77.91,1294.0,0.3,,+-0.05,+-1,1%,1%
82.73,1490.0,0.3,,+-0.05,+-1,1%,1%
63.46,766.0,0.2,,+-0.05,+-1,1%,1%
68.57,913.3,0.2,,+-0.05,+-1,1%,1%
74.41,1109.8,0.2,,+-0.05,+-1,1%,1%
79.25,1296.9,0.2,,+-0.05,+-1,1%,1%
69.74,750.2,0.1,,+-0.05,+-1,1%,1%
74.91,887.8,0.1,,+-0.05,+-1,1%,1%
81.55,1080.6,0.1,,+-0.05,+-1,1%,1%
87.58,1275.5,0.1,,+-0.05,+-1,1%,1%
