"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
293.4,5.73,0.0,0.0,+-0.01,+-0.02,+-0.001,+-0.001
293.4,6.14,0.017,0.04,+-0.01,+-0.02,+-0.001,+-0.001
293.4,6.23,0.02,0.048,+-0.01,+-0.02,+-0.001,+-0.001
293.4,6.32,0.025,0.058,+-0.01,+-0.02,+-0.001,+-0.001
293.4,6.64,0.039,0.085,+-0.01,+-0.02,+-0.001,+-0.001
293.4,6.82,0.05,0.094,+-0.01,+-0.02,+-0.001,+-0.001
293.4,7.18,0.063,0.115,+-0.01,+-0.02,+-0.001,+-0.001
293.4,7.32,0.071,0.122,+-0.01,+-0.02,+-0.001,+-0.001
293.4,7.4,0.076,0.126,+-0.01,+-0.02,+-0.001,+-0.001
293.4,7.43,0.079,0.128,+-0.01,+-0.02,+-0.001,+-0.001
293.4,7.72,0.097,0.135,+-0.01,+-0.02,+-0.001,+-0.001
293.4,7.89,0.113,0.135,+-0.01,+-0.02,+-0.001,+-0.001
293.4,7.98,0.132,0.132,+-0.01,+-0.02,+-0.001,+-0.001
