"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
280,5.08,0.0,0.0,0.25%,0.05%,0.002,0.002
280,50.0,0.0732,0.8903,0.25%,0.05%,0.002,0.002
280,100.0,0.1488,0.9403,0.25%,0.05%,0.002,0.002
280,150.0,0.2195,0.9571,0.25%,0.05%,0.002,0.002
280,200.0,0.2856,0.9654,0.25%,0.05%,0.002,0.002
280,300.0,0.4057,0.9737,0.25%,0.05%,0.002,0.002
280,400.0,0.5139,0.9766,0.25%,0.05%,0.002,0.002
280,600.0,0.7023,0.977,0.25%,0.05%,0.002,0.002
280,800.0,0.8629,0.9671,0.25%,0.05%,0.002,0.002
280,873.0,0.9283,0.9283,0.25%,0.05%,0.002,0.002
