"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
354.25,685,0.042,0.0076,,,,
355.5,685,0.088,0.0166,,,,
357.45,685,0.1555,0.032,,,,
360.05,685,0.2345,0.0545,,,,
363.65,685,0.334,0.0855,,,,
366.85,685,0.4125,0.12,,,,
369.65,685,0.478,0.1555,,,,
373.25,685,0.552,0.2,,,,
378.55,685,0.65,0.282,,,,
382.15,685,0.7055,0.3405,,,,
385.15,685,0.75,0.4,,,,
390.45,685,0.817,0.4985,,,,
393.85,685,0.858,0.5795,,,,
396.65,685,0.895,0.662,,,,
400.05,685,0.931,0.762,,,,
405.15,685,0.9795,0.921,,,,
