"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
273.2,0.499,0.0,0.0,,,,
273.2,0.605,0.047,0.214,,,,
273.2,0.704,0.096,0.343,,,,
273.2,0.904,0.178,0.517,,,,
273.2,0.938,0.195,0.544,,,,
273.2,1.113,0.264,0.633,,,,
273.2,1.301,0.341,0.706,,,,
273.2,1.427,0.378,0.745,,,,
273.2,1.597,0.442,0.788,,,,
273.2,1.738,0.492,0.817,,,,
273.2,2.098,0.616,0.876,,,,
273.2,2.493,0.735,0.922,,,,
273.2,2.588,0.761,0.93,,,,
273.2,2.796,0.819,0.949,,,,
273.2,3.05,0.895,0.97,,,,
273.2,3.083,0.903,0.972,,,,
273.2,3.475,1.0,1.0,,,,
