"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
358.15,0.0805,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.0977,0.021,0.155,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1184,0.049,0.318,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1257,0.058,0.379,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1587,0.111,0.558,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2099,0.189,0.687,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2757,0.29,0.802,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.3364,0.394,0.864,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.4129,0.518,0.919,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.4864,0.648,0.951,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.5669,0.783,0.975,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6266,0.866,0.989,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6685,0.977,0.997,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6722,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
