"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
368.15,0.1607,0.0,0.0,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1705,0.009,0.08,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1818,0.026,0.15,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1933,0.045,0.213,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2043,0.07,0.271,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.214,0.092,0.317,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.218,0.108,0.331,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2295,0.149,0.384,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2423,0.242,0.436,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2518,0.346,0.473,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2578,0.418,0.506,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2621,0.509,0.538,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2597,0.587,0.567,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.256,0.672,0.6,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2489,0.762,0.671,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.243,0.825,0.727,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2357,0.884,0.789,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2286,0.922,0.846,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2225,0.95,0.903,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2181,0.98,0.96,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.215,1.0,1.0,+-0.02,+-0.0002,+-0.002,+-0.002
