"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
75.5,98.67,0.0,0.0,0.1,0.067,,
82.7,98.67,0.24,0.041,0.1,0.067,,
86.2,98.67,0.323,0.057,0.1,0.067,,
89.1,98.67,0.369,0.082,0.1,0.067,,
94.5,98.67,0.517,0.129,0.1,0.067,,
102.5,98.67,0.663,0.222,0.1,0.067,,
108.2,98.67,0.738,0.28,0.1,0.067,,
115.5,98.67,0.825,0.41,0.1,0.067,,
120.8,98.67,0.876,0.514,0.1,0.067,,
124.7,98.67,0.905,0.594,0.1,0.067,,
127.5,98.67,0.931,0.688,0.1,0.067,,
129.6,98.67,0.946,0.732,0.1,0.067,,
137.8,98.67,1.0,1.0,0.1,0.067,,
