"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
318.15,45075,0.0,0.0,,,,
318.15,48251,0.00484,0.0682,,,,
318.15,49829,0.00757,0.099,,,,
318.15,51203,0.01019,0.1243,,,,
318.15,52418,0.01321,0.1458,,,,
318.15,53376,0.01625,0.1621,,,,
318.15,54100,0.01914,0.1741,,,,
318.15,55754,0.02894,0.201,,,,
318.15,56849,0.03938,0.2187,,,,
318.15,57529,0.04892,0.2297,,,,
318.15,58467,0.06876,0.2454,,,,
318.15,59398,0.10218,0.2626,,,,
318.15,59813,0.12804,0.2711,,,,
318.15,60350,0.19965,0.2863,,,,
318.15,60492,0.262,0.2945,,,,
318.15,60523,0.3177,0.3072,,,,
318.15,60499,0.3502,0.3099,,,,
318.15,60435,0.3886,0.3136,,,,
318.15,60421,0.4065,0.3144,,,,
318.15,60350,0.4284,0.3166,,,,
318.15,60321,0.4504,0.3174,,,,
318.15,60233,0.4684,0.3196,,,,
318.15,60105,0.5025,0.3222,,,,
318.15,59853,0.5486,0.3266,,,,
318.15,59446,0.6047,0.3325,,,,
318.15,58648,0.672,0.3421,,,,
318.15,57347,0.7375,0.3558,,,,
318.15,54708,0.8093,0.3818,,,,
318.15,51446,0.8596,0.4142,,,,
318.15,48540,0.8896,0.4451,,,,
318.15,44673,0.9186,0.4908,,,,
318.15,41660,0.9377,0.5363,,,,
318.15,37266,0.9563,0.6015,,,,
318.15,34922,0.9654,0.6456,,,,
318.15,32449,0.974,0.6987,,,,
318.15,31018,0.9786,0.7333,,,,
318.15,29563,0.983,0.7717,,,,
318.15,27399,0.9891,0.8362,,,,
318.15,25256,0.9947,0.9107,,,,
318.15,23088,1.0,1.0,,,,
