"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-55.1,64.7,0.0,0.0,+-0.02,+-0.01,0.3%,0.3%
-55.1,70.7,0.0425,0.11,+-0.02,+-0.01,0.3%,0.3%
-55.1,75.38,0.0907,0.1958,+-0.02,+-0.01,0.3%,0.3%
-55.1,78.76,0.132,0.2526,+-0.02,+-0.01,0.3%,0.3%
-55.1,82.68,0.1982,0.3229,+-0.02,+-0.01,0.3%,0.3%
-55.1,85.45,0.2617,0.377,+-0.02,+-0.01,0.3%,0.3%
-55.1,87.73,0.337,0.431,+-0.02,+-0.01,0.3%,0.3%
-55.1,89.42,0.433,0.495,+-0.02,+-0.01,0.3%,0.3%
-55.1,89.89,0.47,0.516,+-0.02,+-0.01,0.3%,0.3%
-55.1,90.18,0.499,0.533,+-0.02,+-0.01,0.3%,0.3%
-55.1,89.93,0.665,0.629,+-0.02,+-0.01,0.3%,0.3%
-55.1,89.42,0.7067,0.656,+-0.02,+-0.01,0.3%,0.3%
-55.1,88.39,0.7614,0.6928,+-0.02,+-0.01,0.3%,0.3%
-55.1,86.59,0.8249,0.7497,+-0.02,+-0.01,0.3%,0.3%
-55.1,84.49,0.8702,0.7975,+-0.02,+-0.01,0.3%,0.3%
-55.1,81.46,0.9207,0.8588,+-0.02,+-0.01,0.3%,0.3%
-55.1,79.15,0.9526,0.9071,+-0.02,+-0.01,0.3%,0.3%
-55.1,74.41,1.0,1.0,+-0.02,+-0.01,0.3%,0.3%
