"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
106.0,102,0.898,0.812,+-0.1,,+-0.3%,+-0.3%
106.6,102,0.901,0.813,+-0.1,,+-0.3%,+-0.3%
105.5,102,0.696,0.708,+-0.1,,+-0.3%,+-0.3%
105.5,102,0.698,0.708,+-0.1,,+-0.3%,+-0.3%
106.0,102,0.496,0.646,+-0.1,,+-0.3%,+-0.3%
106.4,102,0.477,0.638,+-0.1,,+-0.3%,+-0.3%
107.5,102,0.334,0.583,+-0.1,,+-0.3%,+-0.3%
107.5,102,0.334,0.571,+-0.1,,+-0.3%,+-0.3%
109.3,102,0.193,0.484,+-0.1,,+-0.3%,+-0.3%
109.7,102,0.192,0.478,+-0.1,,+-0.3%,+-0.3%
112.5,102,0.103,0.349,+-0.1,,+-0.3%,+-0.3%
113.0,102,0.101,0.327,+-0.1,,+-0.3%,+-0.3%
118.0,102,0.022,0.106,+-0.1,,+-0.3%,+-0.3%
118.7,102,0.019,0.092,+-0.1,,+-0.3%,+-0.3%
