"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
100.0,61.9,,0.0466,,0.5,,
100.0,97.5,,0.03785,,0.5,,
100.0,98.2,,0.037,,0.5,,
100.0,106.3,,0.03735,,0.5,,
100.0,151.2,,0.03555,,0.5,,
100.0,152.8,,0.035,,0.5,,
100.0,155.5,,0.0347,,0.5,,
100.0,155.5,,0.03463,,0.5,,
100.0,198.5,,0.03617,,0.5,,
100.0,232.6,,0.03685,,0.5,,
100.0,243.3,,0.0373,,0.5,,
100.0,251.5,,0.03745,,0.5,,
100.0,274.4,,0.039,,0.5,,
100.0,286.6,,0.03945,,0.5,,
100.0,294.7,,0.041,,0.5,,
100.0,302.6,,0.0404,,0.5,,
100.0,307.8,,0.0414,,0.5,,
100.0,314.5,,0.04055,,0.5,,
