"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
78.3,14.7,0.993,0.963,+-0.3,,,
77.0,14.7,0.977,0.929,+-0.3,,,
76.4,14.7,0.958,0.898,+-0.3,,,
75.3,14.7,0.912,0.816,+-0.3,,,
74.5,14.7,0.88,0.767,+-0.3,,,
73.8,14.7,0.848,0.736,+-0.3,,,
74.1,14.7,0.836,0.738,+-0.3,,,
73.9,14.7,0.803,0.707,+-0.3,,,
73.9,14.7,0.8,0.707,+-0.3,,,
73.5,14.7,0.784,0.698,+-0.3,,,
74.0,14.7,0.775,0.696,+-0.3,,,
73.8,14.7,0.744,0.683,+-0.3,,,
73.7,14.7,0.729,0.676,+-0.3,,,
73.8,14.7,0.721,0.676,+-0.3,,,
73.9,14.7,0.709,0.671,+-0.3,,,
73.5,14.7,0.667,0.661,+-0.3,,,
73.6,14.7,0.665,0.657,+-0.3,,,
73.3,14.7,0.655,0.655,+-0.3,,,
73.8,14.7,0.635,0.654,+-0.3,,,
74.4,14.7,0.55,0.645,+-0.3,,,
74.4,14.7,0.19,0.645,+-0.3,,,
75.5,14.7,0.036,0.618,+-0.3,,,
81.2,14.7,0.017,0.515,+-0.3,,,
84.6,14.7,0.011,0.394,+-0.3,,,
92.0,14.7,0.005,0.207,+-0.3,,,
93.2,14.7,0.004,0.184,+-0.3,,,
97.6,14.7,0.002,0.085,+-0.3,,,
