"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
25,151.7,0.0,,+-0.01,,,
25,205.6,0.004,,+-0.01,,,
25,230.5,0.01,,+-0.01,,,
25,243.0,0.018,,+-0.01,,,
25,253.8,0.035,,+-0.01,,,
25,259.8,0.058,,+-0.01,,,
25,263.6,0.092,,+-0.01,,,
25,264.2,0.13,,+-0.01,,,
25,265.4,0.174,,+-0.01,,,
25,265.9,0.216,,+-0.01,,,
25,265.9,0.82,,+-0.01,,,
25,264.9,0.85,,+-0.01,,,
25,263.8,0.882,,+-0.01,,,
25,259.5,0.916,,+-0.01,,,
25,252.9,0.936,,+-0.01,,,
25,241.1,0.954,,+-0.01,,,
25,223.3,0.97,,+-0.01,,,
25,203.7,0.981,,+-0.01,,,
25,183.1,0.989,,+-0.01,,,
25,149.1,0.995,,+-0.01,,,
25,127.0,1.0,,+-0.01,,,
