"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
298.16,0.92,0.0706,0.978,0.015,,0.0005,0.0005
298.16,1.27,0.0995,0.9832,0.015,,0.0005,0.0005
298.16,1.62,0.1295,0.9875,0.015,,0.0005,0.0005
298.16,1.96,0.1596,0.9906,0.015,,0.0005,0.0005
298.16,2.28,0.1885,0.9922,0.015,,0.0005,0.0005
298.16,2.6,0.2178,0.992,0.015,,0.0005,0.0005
298.16,2.96,0.2503,0.9919,0.015,,0.0005,0.0005
298.16,3.33,0.2836,0.992,0.015,,0.0005,0.0005
298.16,3.65,0.3132,0.9927,0.015,,0.0005,0.0005
298.16,4.0,0.3491,0.993,0.015,,0.0005,0.0005
298.16,4.34,0.3915,0.9923,0.015,,0.0005,0.0005
298.16,4.69,0.4435,0.9913,0.015,,0.0005,0.0005
298.16,5.03,0.5091,0.9884,0.015,,0.0005,0.0005
298.16,5.38,0.5905,0.9851,0.015,,0.0005,0.0005
298.16,5.5,0.6979,0.9823,0.015,,0.0005,0.0005
298.16,5.6,0.78,0.9805,0.015,,0.0005,0.0005
298.16,5.71,0.884,0.9786,0.015,,0.0005,0.0005
