"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
40,1.0714,0.1581,0.8727,0.01,,,
40,1.6389,0.2475,0.9125,0.01,,,
40,1.9677,0.2975,0.9247,0.01,,,
40,2.4396,0.3677,0.9363,0.01,,,
40,2.8536,0.4254,0.9437,0.01,,,
40,3.3157,0.4868,0.9498,0.01,,,
40,3.6929,0.5366,0.9534,0.01,,,
40,3.9949,0.5748,0.9561,0.01,,,
40,4.5332,0.6382,0.9583,0.01,,,
40,4.8029,0.6718,0.959,0.01,,,
40,5.0691,0.7048,0.9595,0.01,,,
40,5.4824,0.7521,0.9594,0.01,,,
40,5.8835,0.798,0.9588,0.01,,,
40,6.1377,0.8308,0.9576,0.01,,,
40,6.464,0.8627,0.9536,0.01,,,
40,6.6373,0.8915,0.9439,0.01,,,
