"T, deg.C","P, Pa",X,Y,T Err,P Err,X Err,Y Err
25,64320,0.0,0.0,,,,
25,57900,0.1168,0.0286,,,,
25,50830,0.2385,0.0756,,,,
25,44876,0.3411,0.1366,,,,
25,39657,0.4085,0.1909,,,,
25,41090,0.4383,0.2191,,,,
25,34156,0.5556,0.3568,,,,
25,31080,0.6424,0.4835,,,,
25,28304,0.752,0.6599,,,,
25,26602,0.8887,0.8679,,,,
25,26254,1.0,1.0,,,,
