"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
110.78,760,0.0,0.0,+-0.1,+-0.1,+-0.1%,0.1%
108.51,760,0.023,0.056,+-0.1,+-0.1,+-0.1%,0.1%
107.5,760,0.048,0.108,+-0.1,+-0.1,+-0.1%,0.1%
106.54,760,0.062,0.134,+-0.1,+-0.1,+-0.1%,0.1%
105.21,760,0.091,0.192,+-0.1,+-0.1,+-0.1%,0.1%
104.71,760,0.104,0.215,+-0.1,+-0.1,+-0.1%,0.1%
103.21,760,0.15,0.283,+-0.1,+-0.1,+-0.1%,0.1%
102.23,760,0.18,0.328,+-0.1,+-0.1,+-0.1%,0.1%
100.51,760,0.219,0.388,+-0.1,+-0.1,+-0.1%,0.1%
99.98,760,0.246,0.414,+-0.1,+-0.1,+-0.1%,0.1%
98.25,760,0.296,0.486,+-0.1,+-0.1,+-0.1%,0.1%
97.74,760,0.308,0.508,+-0.1,+-0.1,+-0.1%,0.1%
96.3,760,0.366,0.563,+-0.1,+-0.1,+-0.1%,0.1%
95.66,760,0.38,0.582,+-0.1,+-0.1,+-0.1%,0.1%
95.17,760,0.398,0.605,+-0.1,+-0.1,+-0.1%,0.1%
93.27,760,0.448,0.652,+-0.1,+-0.1,+-0.1%,0.1%
92.48,760,0.502,0.702,+-0.1,+-0.1,+-0.1%,0.1%
90.67,760,0.576,0.762,+-0.1,+-0.1,+-0.1%,0.1%
88.81,760,0.646,0.813,+-0.1,+-0.1,+-0.1%,0.1%
86.49,760,0.732,0.868,+-0.1,+-0.1,+-0.1%,0.1%
84.49,760,0.807,0.912,+-0.1,+-0.1,+-0.1%,0.1%
82.69,760,0.88,0.948,+-0.1,+-0.1,+-0.1%,0.1%
81.46,760,0.93,0.97,+-0.1,+-0.1,+-0.1%,0.1%
80.58,760,0.968,0.985,+-0.1,+-0.1,+-0.1%,0.1%
80.31,760,0.985,0.991,+-0.1,+-0.1,+-0.1%,0.1%
80.58,760,0.99,0.992,+-0.1,+-0.1,+-0.1%,0.1%
80.26,760,1.0,1.0,+-0.1,+-0.1,+-0.1%,0.1%
