"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
336.92,101.3,0.018,0.046,0.01,,0.002,0.002
332.03,101.3,0.147,0.305,0.01,,0.002,0.002
330.36,101.3,0.208,0.391,0.01,,0.002,0.002
329.54,101.3,0.241,0.433,0.01,,0.002,0.002
328.3,101.3,0.316,0.498,0.01,,0.002,0.002
327.59,101.3,0.379,0.544,0.01,,0.002,0.002
327.32,101.3,0.41,0.563,0.01,,0.002,0.002
326.89,101.3,0.47,0.593,0.01,,0.002,0.002
326.72,101.3,0.509,0.605,0.01,,0.002,0.002
326.61,101.3,0.54,0.621,0.01,,0.002,0.002
326.51,101.3,0.599,0.635,0.01,,0.002,0.002
326.48,101.3,0.641,0.645,0.01,,0.002,0.002
326.48,101.3,0.647,0.648,0.01,,0.002,0.002
326.48,101.3,0.672,0.655,0.01,,0.002,0.002
326.5,101.3,0.691,0.657,0.01,,0.002,0.002
326.53,101.3,0.718,0.663,0.01,,0.002,0.002
326.6,101.3,0.751,0.679,0.01,,0.002,0.002
326.92,101.3,0.823,0.707,0.01,,0.002,0.002
326.93,101.3,0.834,0.715,0.01,,0.002,0.002
329.54,101.3,0.949,0.815,0.01,,0.002,0.002
330.98,101.3,0.974,0.875,0.01,,0.002,0.002
