"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
79.9,760,0.034,0.114,+-0.05,+-1,,
78.5,760,0.062,0.185,+-0.05,+-1,,
76.8,760,0.092,0.252,+-0.05,+-1,,
74.0,760,0.173,0.376,+-0.05,+-1,,
72.8,760,0.224,0.442,+-0.05,+-1,,
70.6,760,0.342,0.534,+-0.05,+-1,,
69.7,760,0.412,0.575,+-0.05,+-1,,
69.1,760,0.486,0.604,+-0.05,+-1,,
69.0,760,0.578,0.64,+-0.05,+-1,,
68.8,760,0.647,0.665,+-0.05,+-1,,
68.9,760,0.73,0.692,+-0.05,+-1,,
69.1,760,0.804,0.719,+-0.05,+-1,,
70.2,760,0.88,0.76,+-0.05,+-1,,
72.2,760,0.943,0.821,+-0.05,+-1,,
74.1,760,0.97,0.893,+-0.05,+-1,,
