"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
30.0,187.26,0.0,0.0,+- 0.002,0.02%,,
30.0,182.8,0.1,0.00896,+- 0.002,0.02%,,
30.0,178.44,0.2,0.01064,+- 0.002,0.02%,,
30.0,173.41,0.3,0.01197,+- 0.002,0.02%,,
30.0,167.74,0.4,0.01317,+- 0.002,0.02%,,
30.0,160.15,0.5,0.01459,+- 0.002,0.02%,,
30.0,149.03,0.6,0.01661,+- 0.002,0.02%,,
30.0,132.11,0.7,0.01994,+- 0.002,0.02%,,
30.0,106.24,0.8,0.02657,+- 0.002,0.02%,,
30.0,88.24,0.85,0.03322,+- 0.002,0.02%,,
30.0,65.85,0.9,0.04631,+- 0.002,0.02%,,
30.0,38.09,0.95,0.08345,+- 0.002,0.02%,,
30.0,18.18,0.98,0.17941,+- 0.002,0.02%,,
30.0,10.92,0.99,0.30137,+- 0.002,0.02%,,
30.0,3.32,1.0,1.0,+- 0.002,0.02%,,
