"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
42.3,1.705,0.1621,0.9829,,,,
42.3,2.422,0.229,0.9866,,,,
42.3,3.146,0.3003,0.9879,,,,
42.3,3.608,0.3489,0.9888,,,,
42.3,4.098,0.4026,0.9888,,,,
42.3,4.56,0.4581,0.9891,,,,
42.3,5.111,0.5296,0.9887,,,,
42.3,5.47,0.5815,0.989,,,,
42.3,5.532,0.5928,0.989,,,,
42.3,5.794,0.6316,0.9894,,,,
42.3,5.932,0.6532,0.9883,,,,
42.3,6.328,0.7182,0.9881,,,,
42.3,6.814,0.7953,0.9879,,,,
42.3,6.918,0.812,0.9851,,,,
42.3,7.131,0.8448,0.9874,,,,
42.3,7.4,0.8866,0.9871,,,,
42.3,7.752,0.9216,0.9864,,,,
42.3,8.165,0.9597,0.9848,,,,
