"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
80.0,0.47,0.0,0.0,+-0.1,+-0.2%,0.001,0.001
80.0,0.531,0.011,0.134,+-0.1,+-0.2%,0.001,0.001
80.0,0.758,0.047,0.384,+-0.1,+-0.2%,0.001,0.001
80.0,1.344,0.147,0.652,+-0.1,+-0.2%,0.001,0.001
80.0,2.475,0.37,0.834,+-0.1,+-0.2%,0.001,0.001
80.0,4.213,0.672,0.909,+-0.1,+-0.2%,0.001,0.001
80.0,5.212,0.844,0.95,+-0.1,+-0.2%,0.001,0.001
80.0,5.798,0.93,0.97,+-0.1,+-0.2%,0.001,0.001
80.0,6.295,0.993,0.996,+-0.1,+-0.2%,0.001,0.001
80.0,6.447,1.0,1.0,+-0.1,+-0.2%,0.001,0.001
