"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
70.4,760,0.079,0.097,+-0.02,+-2,+-1%,+-1%
70.2,760,0.109,0.131,+-0.02,+-2,+-1%,+-1%
70.02,760,0.137,0.161,+-0.02,+-2,+-1%,+-1%
69.62,760,0.206,0.23,+-0.02,+-2,+-1%,+-1%
69.48,760,0.243,0.262,+-0.02,+-2,+-1%,+-1%
69.4,760,0.268,0.285,+-0.02,+-2,+-1%,+-1%
69.28,760,0.326,0.337,+-0.02,+-2,+-1%,+-1%
69.23,760,0.361,0.366,+-0.02,+-2,+-1%,+-1%
69.16,760,0.374,0.376,+-0.02,+-2,+-1%,+-1%
69.26,760,0.479,0.463,+-0.02,+-2,+-1%,+-1%
69.32,760,0.504,0.493,+-0.02,+-2,+-1%,+-1%
69.39,760,0.532,0.515,+-0.02,+-2,+-1%,+-1%
69.48,760,0.581,0.553,+-0.02,+-2,+-1%,+-1%
69.58,760,0.607,0.571,+-0.02,+-2,+-1%,+-1%
69.95,760,0.7,0.649,+-0.02,+-2,+-1%,+-1%
70.0,760,0.69,0.664,+-0.02,+-2,+-1%,+-1%
70.25,760,0.758,0.71,+-0.02,+-2,+-1%,+-1%
70.48,760,0.777,0.731,+-0.02,+-2,+-1%,+-1%
70.8,760,0.847,0.795,+-0.02,+-2,+-1%,+-1%
71.0,760,0.869,0.827,+-0.02,+-2,+-1%,+-1%
71.34,760,0.902,0.868,+-0.02,+-2,+-1%,+-1%
71.65,760,0.933,0.908,+-0.02,+-2,+-1%,+-1%
71.78,760,0.942,0.918,+-0.02,+-2,+-1%,+-1%
71.99,760,0.973,0.936,+-0.02,+-2,+-1%,+-1%
72.13,760,0.985,0.951,+-0.02,+-2,+-1%,+-1%
