"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
68.0,760,0.0,0.0,+-0.1,+-0.5,,
67.6,760,0.058,0.064,+-0.1,+-0.5,,
67.4,760,0.116,0.129,+-0.1,+-0.5,,
67.2,760,0.176,0.198,+-0.1,+-0.5,,
66.9,760,0.245,0.27,+-0.1,+-0.5,,
66.4,760,0.329,0.378,+-0.1,+-0.5,,
65.9,760,0.399,0.45,+-0.1,+-0.5,,
65.4,760,0.46,0.521,+-0.1,+-0.5,,
65.0,760,0.534,0.604,+-0.1,+-0.5,,
64.4,760,0.618,0.684,+-0.1,+-0.5,,
63.5,760,0.697,0.767,+-0.1,+-0.5,,
62.2,760,0.828,0.877,+-0.1,+-0.5,,
61.5,760,0.903,0.932,+-0.1,+-0.5,,
60.3,760,1.0,1.0,+-0.1,+-0.5,,
