"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
71.8,750,0.876,0.706,0.05,2,0.2%,0.2%
71.0,750,0.791,0.668,0.05,2,0.2%,0.2%
71.0,750,0.78,0.66,0.05,2,0.2%,0.2%
71.0,750,0.669,0.655,0.05,2,0.2%,0.2%
71.0,750,0.553,0.638,0.05,2,0.2%,0.2%
71.2,750,0.487,0.632,0.05,2,0.2%,0.2%
71.0,750,0.482,0.636,0.05,2,0.2%,0.2%
71.2,750,0.388,0.629,0.05,2,0.2%,0.2%
72.2,750,0.24,0.612,0.05,2,0.2%,0.2%
73.2,750,0.148,0.587,0.05,2,0.2%,0.2%
74.5,750,0.094,0.557,0.05,2,0.2%,0.2%
80.4,750,0.04,0.475,0.05,2,0.2%,0.2%
88.1,750,0.013,0.33,0.05,2,0.2%,0.2%
90.6,750,0.017,0.19,0.05,2,0.2%,0.2%
76.9,750,0.997,0.967,0.05,2,0.2%,0.2%
74.4,750,0.973,0.865,0.05,2,0.2%,0.2%
72.2,750,0.948,0.793,0.05,2,0.2%,0.2%
75.4,750,0.065,0.543,0.05,2,0.2%,0.2%
73.0,750,0.1005,0.572,0.05,2,0.2%,0.2%
78.5,750,0.005,0.515,0.05,2,0.2%,0.2%
