"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
121.1,47.98,0.049,0.367,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,60.66,0.066,0.444,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,76.16,0.095,0.514,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,87.49,0.109,0.555,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,100.17,0.135,0.588,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,111.39,0.149,0.609,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,123.69,0.172,0.632,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,137.09,0.193,0.637,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,137.17,0.194,0.638,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,150.89,0.228,0.633,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,166.55,0.266,0.615,+- 0.05,+- 0.05,+- 0.04,+- 0.04
121.1,33.86,0.021,0.213,+- 0.05,+- 0.05,+- 0.04,+- 0.04
