"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
124.5,61.94,0.0,,+-0.02,+-0.1,,
124.5,78.73,0.0237,,+-0.02,+-0.1,,
124.5,83.69,0.0331,,+-0.02,+-0.1,,
124.5,86.77,0.0391,,+-0.02,+-0.1,,
124.5,89.35,0.0448,,+-0.02,+-0.1,,
124.5,91.47,0.0499,,+-0.02,+-0.1,,
124.5,93.93,0.0564,,+-0.02,+-0.1,,
124.5,100.82,0.0756,,+-0.02,+-0.1,,
124.5,107.5,0.1019,,+-0.02,+-0.1,,
124.5,113.01,0.132,,+-0.02,+-0.1,,
124.5,117.23,0.162,,+-0.02,+-0.1,,
124.5,120.19,0.195,,+-0.02,+-0.1,,
124.5,122.14,0.2275,,+-0.02,+-0.1,,
124.5,123.45,0.2513,,+-0.02,+-0.1,,
124.5,124.55,0.2738,,+-0.02,+-0.1,,
124.5,125.47,0.2898,,+-0.02,+-0.1,,
124.5,126.22,0.3093,,+-0.02,+-0.1,,
124.5,127.08,0.3305,,+-0.02,+-0.1,,
124.5,127.88,0.3517,,+-0.02,+-0.1,,
124.5,129.78,0.6245,,+-0.02,+-0.1,,
124.5,129.75,0.6328,,+-0.02,+-0.1,,
124.5,129.74,0.6417,,+-0.02,+-0.1,,
124.5,129.8,0.6487,,+-0.02,+-0.1,,
124.5,129.76,0.6591,,+-0.02,+-0.1,,
124.5,129.6,0.6687,,+-0.02,+-0.1,,
124.5,129.53,0.6766,,+-0.02,+-0.1,,
124.5,129.47,0.682,,+-0.02,+-0.1,,
124.5,129.36,0.6988,,+-0.02,+-0.1,,
124.5,128.92,0.7154,,+-0.02,+-0.1,,
124.5,128.62,0.7402,,+-0.02,+-0.1,,
124.5,127.99,0.762,,+-0.02,+-0.1,,
124.5,127.18,0.7836,,+-0.02,+-0.1,,
124.5,126.44,0.8059,,+-0.02,+-0.1,,
124.5,124.3,0.8431,,+-0.02,+-0.1,,
124.5,121.9,0.8701,,+-0.02,+-0.1,,
124.5,119.41,0.8952,,+-0.02,+-0.1,,
124.5,116.54,0.917,,+-0.02,+-0.1,,
124.5,114.04,0.9323,,+-0.02,+-0.1,,
124.5,111.07,0.9478,,+-0.02,+-0.1,,
124.5,108.61,0.9588,,+-0.02,+-0.1,,
124.5,106.23,0.9676,,+-0.02,+-0.1,,
124.5,103.56,0.9772,,+-0.02,+-0.1,,
124.5,101.74,0.9827,,+-0.02,+-0.1,,
124.5,100.11,0.9873,,+-0.02,+-0.1,,
124.5,98.91,0.9911,,+-0.02,+-0.1,,
124.5,97.56,0.9948,,+-0.02,+-0.1,,
124.5,96.53,0.9981,,+-0.02,+-0.1,,
124.5,95.48,1.0,,+-0.02,+-0.1,,
