"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
293.2,0.77,0.118,0.9480,0.1,0.01,0.003,0.0003
293.2,1.81,0.289,0.9744,0.1,0.01,0.005,0.0007
293.2,3.0,0.482,0.9824,0.1,0.01,0.007,0.0008
293.2,4.11,0.681,0.9844,0.1,0.01,0.007,0.0007
293.2,4.98,0.839,0.9858,0.1,0.01,0.006,0.0005
293.2,5.41,0.913,0.9848+,0.1,0.01,0.004,0.0008
293.2,5.61,0.944,0.9838,0.1,0.01,0.003,0.0008
293.2,5.66,,0.9832,0.1,0.01,,0.0008
332.9,0.93,0.081,0.856,0.1,0.01,0.002,0.008
332.9,2.5,0.232,0.927,0.1,0.01,0.004,0.005
332.9,2.52,0.238,,0.1,0.01,0.004,
332.9,3.75,0.362,0.941,0.1,0.01,0.005,0.002
332.9,5.19,0.503,0.943,0.1,0.01,0.006,0.002
332.9,7.01,0.68,0.930,0.1,0.01,0.007,0.003
332.9,7.53,0.729,,0.1,0.01,0.006,
332.9,8.06,0.785,0.894,0.1,0.01,0.004,0.002
373.6,1.49,0.405,0.773,0.1,0.02,0.006,0.005
373.6,3.02,0.227,0.862,0.1,0.02,0.007,0.004
373.6,5.06,0.374,0.898,0.1,0.02,0.009,0.004
373.6,7.09,0.515,0.896,0.1,0.02,0.008,0.003
373.6,8.78,0.632,0.877,0.1,0.02,0.007,0.003
