"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
382.7,5.434,0.917,0.942,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,5.233,0.886,0.937,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,5.022,0.848,0.935,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,4.869,0.824,0.931,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,4.386,0.74,0.92,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,3.995,0.64,0.905,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,3.436,0.514,0.894,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,2.869,0.399,0.877,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,2.364,0.304,0.859,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,1.849,0.215,0.803,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,1.591,0.176,0.769,+-0.05,+-0.5%,+-0.005,+-0.005
382.7,1.073,0.101,0.683,+-0.05,+-0.5%,+-0.005,+-0.005
