"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.15,15184,1.0,1.0,+-0.002,+-25,,
298.15,14449,0.9012,0.9499,+-0.002,+-25,,
298.15,13670,0.8017,0.8992,+-0.002,+-25,,
298.15,12910,0.7052,0.8475,+-0.002,+-25,,
298.15,12115,0.6067,0.7899,+-0.002,+-25,,
298.15,11238,0.5053,0.7223,+-0.002,+-25,,
298.15,10339,0.4055,0.6431,+-0.002,+-25,,
298.15,12067,0.5969,0.7838,+-0.002,+-25,,
298.15,11212,0.5005,0.7187,+-0.002,+-25,,
298.15,10260,0.3979,0.6364,+-0.002,+-25,,
298.15,9203,0.2926,0.531,+-0.002,+-25,,
298.15,8237,0.1971,0.4077,+-0.002,+-25,,
298.15,7206,0.1016,0.2443,+-0.002,+-25,,
298.15,6037,0.0,0.0,+-0.002,+-25,,
