"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
298.15,269.8,0.0251,0.1992,,,,
298.15,344.0,0.0717,0.4043,,,,
298.15,416.0,0.1455,0.529,,,,
298.15,461.8,0.2258,0.5962,,,,
298.15,487.8,0.29,0.6327,,,,
298.15,508.2,0.374,0.6626,,,,
298.15,528.7,0.5053,0.697,,,,
298.15,539.0,0.592,0.7206,,,,
298.15,544.7,0.6592,0.7407,,,,
298.15,547.2,0.6963,0.753,,,,
298.15,550.2,0.7708,0.7841,,,,
298.15,550.3,0.8062,0.802,,,,
298.15,550.1,0.8449,0.8244,,,,
298.15,545.8,0.8839,0.854,,,,
298.15,537.7,0.9309,0.8993,,,,
298.15,533.3,0.9472,0.9176,,,,
298.15,524.4,0.9755,0.9568,,,,
