"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.47,4377,0.1175,,0.003,+-0.01,,
322.91,11462,0.1175,,0.003,+-0.01,,
298.44,6062,0.203,,0.003,+-0.01,,
322.89,15851,0.203,,0.003,+-0.01,,
298.45,7799,0.3027,,0.003,+-0.01,,
322.89,20523,0.3027,,0.003,+-0.01,,
298.45,9268,0.3965,,0.003,+-0.01,,
322.89,24503,0.3965,,0.003,+-0.01,,
298.44,10702,0.4983,,0.003,+-0.01,,
322.88,28355,0.4983,,0.003,+-0.01,,
