"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
124.9,6.06,0.0,,+-0.02,+-0.1,,
124.9,7.5,0.0013,,+-0.02,+-0.1,,
124.9,7.93,0.002,,+-0.02,+-0.1,,
124.9,8.48,0.0029,,+-0.02,+-0.1,,
124.9,9.52,0.005,,+-0.02,+-0.1,,
124.9,13.26,0.0137,,+-0.02,+-0.1,,
124.9,17.37,0.0273,,+-0.02,+-0.1,,
124.9,20.81,0.0387,,+-0.02,+-0.1,,
124.9,24.23,0.0522,,+-0.02,+-0.1,,
124.9,28.84,0.0727,,+-0.02,+-0.1,,
124.9,33.42,0.0969,,+-0.02,+-0.1,,
124.9,38.03,0.1276,,+-0.02,+-0.1,,
124.9,41.79,0.1589,,+-0.02,+-0.1,,
124.9,44.4,0.1842,,+-0.02,+-0.1,,
124.9,46.14,0.2078,,+-0.02,+-0.1,,
124.9,47.57,0.2311,,+-0.02,,,
124.9,48.74,0.2551,,+-0.02,+-0.1,,
124.9,49.63,0.277,,+-0.02,+-0.1,,
124.9,50.25,0.2994,,+-0.02,+-0.1,,
124.9,50.63,0.3127,,+-0.02,+-0.1,,
124.9,51.04,0.3307,,+-0.02,+-0.1,,
124.9,51.48,0.3335,,+-0.02,+-0.1,,
124.9,51.46,0.3533,,+-0.02,+-0.1,,
124.9,51.91,0.3553,,+-0.02,+-0.1,,
124.9,51.8,0.3738,,+-0.02,+-0.1,,
124.9,52.09,0.3759,,+-0.02,+-0.1,,
124.9,52.32,0.412,,+-0.02,+-0.1,,
124.9,52.45,0.4746,,+-0.02,+-0.1,,
124.9,52.4,0.5595,,+-0.02,+-0.1,,
124.9,52.23,0.6796,,+-0.02,+-0.1,,
124.9,52.01,0.8586,,+-0.02,+-0.1,,
124.9,52.03,0.9027,,+-0.02,+-0.1,,
124.9,51.92,0.9366,,+-0.02,+-0.1,,
124.9,51.74,0.9581,,+-0.02,+-0.1,,
124.9,51.29,0.9732,,+-0.02,+-0.1,,
124.9,50.54,0.9834,,+-0.02,+-0.1,,
124.9,49.62,0.9925,,+-0.02,+-0.1,,
124.9,48.61,0.9963,,+-0.02,+-0.1,,
124.9,48.35,0.9982,,+-0.02,+-0.1,,
124.9,48.13,1.0,,+-0.02,+-0.1,,
