"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
283.2,0.548,0.853,,0.02,0.005,0.001,0.001
293.25,0.673,0.853,,0.02,0.005,0.001,0.001
303.25,0.808,0.853,,0.02,0.005,0.001,0.001
313.23,0.958,0.853,,0.02,0.005,0.001,0.001
323.19,1.113,0.853,,0.02,0.005,0.001,0.001
333.15,1.288,0.853,,0.02,0.005,0.001,0.001
343.27,1.483,0.853,,0.02,0.005,0.001,0.001
353.2,1.683,0.853,,0.02,0.005,0.001,0.001
360.8,1.838,0.853,,0.02,0.005,0.001,0.001
363.19,1.888,0.853,,0.02,0.005,0.001,0.001
370.78,2.048,0.853,,0.02,0.005,0.001,0.001
380.78,2.278,0.853,,0.02,0.005,0.001,0.001
390.69,2.528,0.853,,0.02,0.005,0.001,0.001
400.78,2.773,0.853,,0.02,0.005,0.001,0.001
410.65,3.048,0.853,,0.02,0.005,0.001,0.001
420.69,3.333,0.853,,0.02,0.005,0.001,0.001
430.25,3.618,0.853,,0.02,0.005,0.001,0.001
440.32,3.928,0.853,,0.02,0.005,0.001,0.001
450.29,4.254,0.853,,0.02,0.005,0.001,0.001
459.94,4.594,0.853,,0.02,0.005,0.001,0.001
469.48,4.984,0.853,,0.02,0.005,0.001,0.001
479.3,5.319,0.853,,0.02,0.005,0.001,0.001
488.84,5.669,0.853,,0.02,0.005,0.001,0.001
498.64,5.924,0.853,,0.02,0.005,0.001,0.001
503.66,5.971,0.853,,0.02,0.005,0.001,0.001
508.61,5.787,0.853,,0.02,0.005,0.001,0.001
