"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,204,0.0043,0.3526,+-0.5,1,,
100,204,0.0047,0.3645,+-0.5,1,,
100,204,0.0045,0.3638,+-0.5,1,,
100,204,0.0044,0.3535,+-0.5,1,,
100,400,,0.6258,+-0.5,1,,
100,400,,0.6331,+-0.5,1,,
100,400,,0.6293,+-0.5,1,,
100,602,0.0197,0.7549,+-0.5,1,,
100,602,0.0198,0.7597,+-0.5,1,,
100,602,0.0196,0.7575,+-0.5,1,,
100,602,,0.7581,+-0.5,1,,
100,802,0.0278,0.8101,+-0.5,1,,
100,802,0.0271,0.8107,+-0.5,1,,
100,802,,0.8111,+-0.5,1,,
100,992,0.0413,0.8364,+-0.5,1,,
100,992,0.0316,0.8376,+-0.5,1,,
100,992,0.0335,,+-0.5,1,,
100,992,0.0331,,+-0.5,1,,
100,992,0.033,,+-0.5,1,,
100,1200,0.0438,0.8592,+-0.5,1,,
100,1200,0.0438,0.8589,+-0.5,1,,
100,1396,0.0508,0.8682,+-0.5,1,,
100,1396,0.0506,0.8672,+-0.5,1,,
100,1396,0.0507,,+-0.5,1,,
100,1606,0.0587,0.8835,+-0.5,1,,
100,1606,0.0585,0.8826,+-0.5,1,,
100,1606,,0.8828,+-0.5,1,,
100,1797,0.0631,0.8855,+-0.5,1,,
100,1797,0.0624,0.8834,+-0.5,1,,
100,1797,0.0625,0.8832,+-0.5,1,,
100,2007,0.0696,0.8944,+-0.5,1,,
100,2007,0.0672,0.8922,+-0.5,1,,
