"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
303.15,11.21,1.0,,+-0.01,+-0.05,,
303.15,24.2,0.8905,,+-0.01,+-0.05,,
303.15,27.84,0.8638,,+-0.01,+-0.05,,
303.15,34.1,0.8064,,+-0.01,+-0.05,,
303.15,50.59,0.6836,,+-0.01,+-0.05,,
303.15,54.36,0.6485,,+-0.01,+-0.05,,
303.15,66.03,0.5678,,+-0.01,+-0.05,,
303.15,68.44,0.5431,,+-0.01,+-0.05,,
303.15,76.85,0.4869,,+-0.01,+-0.05,,
303.15,78.93,0.4657,,+-0.01,+-0.05,,
303.15,84.8,0.4273,,+-0.01,+-0.05,,
303.15,87.45,0.4026,,+-0.01,+-0.05,,
303.15,91.06,0.3801,,+-0.01,+-0.05,,
303.15,99.33,0.3197,,+-0.01,+-0.05,,
303.15,107.04,0.2641,,+-0.01,+-0.05,,
303.15,112.72,0.2233,,+-0.01,+-0.05,,
303.15,119.46,0.1739,,+-0.01,+-0.05,,
303.15,126.97,0.1209,,+-0.01,+-0.05,,
303.15,141.95,0.0,,+-0.01,+-0.05,,
