"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
61.2,380,0.033,0.15,+-0.1,+-1,,
59.15,380,0.057,0.248,+-0.1,+-1,,
56.7,380,0.07,0.328,+-0.1,+-1,,
52.4,380,0.093,0.465,+-0.1,+-1,,
50.75,380,0.114,0.529,+-0.1,+-1,,
49.25,380,0.135,0.574,+-0.1,+-1,,
48.1,380,0.144,0.59,+-0.1,+-1,,
46.8,380,0.187,0.637,+-0.1,+-1,,
44.6,380,0.277,0.701,+-0.1,+-1,,
43.9,380,0.39,0.73,+-0.1,+-1,,
43.65,380,0.423,0.74,+-0.1,+-1,,
43.8,380,0.466,0.75,+-0.1,+-1,,
43.65,380,0.574,0.756,+-0.1,+-1,,
43.65,380,0.69,0.769,+-0.1,+-1,,
43.6,380,0.742,0.775,+-0.1,+-1,,
43.5,380,0.765,0.783,+-0.1,+-1,,
43.6,380,0.753,0.78,+-0.1,+-1,,
43.6,380,0.777,0.784,+-0.1,+-1,,
43.35,380,0.82,0.795,+-0.1,+-1,,
43.4,380,0.841,0.797,+-0.1,+-1,,
43.8,380,0.89,0.817,+-0.1,+-1,,
44.4,380,0.94,0.85,+-0.1,+-1,,
45.2,380,0.965,0.887,+-0.1,+-1,,
