"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
37.7,0.6202,0.0246,0.2188,,,,
37.7,0.8773,0.0584,0.4865,,,,
37.7,1.4291,0.1345,0.676,,,,
37.7,1.4597,0.1456,0.6953,,,,
37.7,1.8326,0.19,0.7451,,,,
37.7,2.0984,0.2292,,,,,
37.7,2.3015,0.2575,,,,,
37.7,2.3284,0.2561,0.7924,,,,
37.7,2.5576,0.2854,0.8099,,,,
37.7,2.8669,0.3504,0.8303,,,,
37.7,2.9152,0.3447,0.8468,,,,
37.7,3.336,0.3979,0.8602,,,,
37.7,3.199,0.4316,0.8607,,,,
37.7,4.4511,0.5659,0.8953,,,,
37.7,4.5326,0.5812,0.8921,,,,
37.7,4.95,0.6328,0.9006,,,,
37.7,5.2778,0.6859,0.9167,,,,
37.7,5.3711,,0.9227,,,,
37.7,5.57,0.7248,0.9113,,,,
37.7,5.7611,0.75,0.9163,,,,
37.7,6.3394,0.8182,0.9075,,,,
