"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
117.0,760,0.076,0.384,+-0.1,+-1,+-0.0005,+-0.0005
113.6,760,0.106,0.455,+-0.1,+-1,+-0.0005,+-0.0005
111.8,760,0.128,0.494,+-0.1,+-1,+-0.0005,+-0.0005
106.8,760,0.196,0.594,+-0.1,+-1,+-0.0005,+-0.0005
104.3,760,0.252,0.632,+-0.1,+-1,+-0.0005,+-0.0005
103.2,760,0.297,0.666,+-0.1,+-1,+-0.0005,+-0.0005
101.3,760,0.388,0.698,+-0.1,+-1,+-0.0005,+-0.0005
100.8,760,0.435,0.707,+-0.1,+-1,+-0.0005,+-0.0005
100.3,760,0.475,0.722,+-0.1,+-1,+-0.0005,+-0.0005
98.4,760,0.533,0.742,+-0.1,+-1,+-0.0005,+-0.0005
97.2,760,0.691,0.794,+-0.1,+-1,+-0.0005,+-0.0005
96.8,760,0.732,0.811,+-0.1,+-1,+-0.0005,+-0.0005
96.6,760,0.782,0.836,+-0.1,+-1,+-0.0005,+-0.0005
96.2,760,0.814,0.854,+-0.1,+-1,+-0.0005,+-0.0005
96.1,760,0.851,0.878,+-0.1,+-1,+-0.0005,+-0.0005
95.9,760,0.933,0.933,+-0.1,+-1,+-0.0005,+-0.0005
96.1,760,0.954,0.954,+-0.1,+-1,+-0.0005,+-0.0005
