"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
250,59.7,0.0,0.0,0.1,0.1%,0.015,0.015
250,100.0,0.046,0.406,0.1,0.1%,0.015,0.015
250,150.0,0.096,0.6,0.1,0.1%,0.015,0.015
250,200.0,0.138,0.69,0.1,0.1%,0.015,0.015
250,300.0,0.212,0.764,0.1,0.1%,0.015,0.015
250,400.0,0.276,0.802,0.1,0.1%,0.015,0.015
250,500.0,0.335,0.828,0.1,0.1%,0.015,0.015
250,600.0,0.392,0.847,0.1,0.1%,0.015,0.015
250,700.0,0.444,0.861,0.1,0.1%,0.015,0.015
250,800.0,0.489,0.87,0.1,0.1%,0.015,0.015
250,900.0,0.523,0.874,0.1,0.1%,0.015,0.015
250,1000.0,0.553,0.87,0.1,0.1%,0.015,0.015
250,1100.0,0.611,0.842,0.1,0.1%,0.015,0.015
250,1146.0,0.735,0.735,0.1,0.1%,0.015,0.015
