"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
419.35,1.192,0.612,,+-0.05,+-0.01,0.001,
429.39,1.467,0.612,,+-0.05,+-0.01,0.001,
437.74,1.722,0.612,,+-0.05,+-0.01,0.001,
446.92,2.032,0.612,,+-0.05,+-0.01,0.001,
458.11,2.442,0.612,,+-0.05,+-0.01,0.001,
470.23,2.916,0.612,,+-0.05,+-0.01,0.001,
479.79,3.312,0.612,,+-0.05,+-0.01,0.001,
490.68,3.782,0.612,,+-0.05,+-0.01,0.001,
498.8,4.127,0.612,,+-0.05,+-0.01,0.001,
509.76,4.587,0.612,,+-0.05,+-0.01,0.001,
521.13,5.021,0.612,,+-0.05,+-0.01,0.001,
524.54,5.134,0.612,,+-0.05,+-0.01,0.001,
533.65,5.332,0.612,,+-0.05,+-0.01,0.001,
539.1,5.248,0.612,,+-0.05,+-0.01,0.001,
539.88,5.194,0.612,,+-0.05,+-0.01,0.001,
540.8,5.12,0.612,,+-0.05,+-0.01,0.001,
