"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
72.5,0.804,0.0,,,,,
72.5,2.365,0.0454,,,,,
72.5,3.941,0.0876,,,,,
72.5,5.189,0.137,,,,,
72.5,5.998,0.1861,,,,,
72.5,6.613,0.236,,,,,
72.5,7.214,0.2963,,,,,
72.5,7.078,0.2853,,,,,
72.5,7.508,0.3405,,,,,
72.5,7.43,0.336,,,,,
72.5,7.73,0.3851,,,,,
72.5,7.69,0.3871,,,,,
72.5,7.909,0.4319,,,,,
72.5,8.053,0.4797,,,,,
72.5,8.171,0.528,,,,,
72.5,8.275,0.579,,,,,
72.5,8.363,0.6297,,,,,
72.5,8.446,0.6819,,,,,
72.5,8.524,0.7341,,,,,
72.5,8.595,0.7826,,,,,
72.5,8.676,0.8391,,,,,
72.5,8.753,0.8964,,,,,
72.5,8.806,0.9514,,,,,
72.5,8.649,1.0,,,,,
