"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
30,7.723,1.0,,+-0.05,+-0.05,,
30,12.619,0.9775,,+-0.05,+-0.05,,
30,16.037,0.9595,,+-0.05,+-0.05,,
30,24.115,0.9141,,+-0.05,+-0.05,,
30,36.447,0.8244,,+-0.05,+-0.05,,
30,46.048,0.7296,,+-0.05,+-0.05,,
30,53.129,0.6381,,+-0.05,+-0.05,,
30,53.265,0.6392,,+-0.05,+-0.05,,
30,59.809,0.5259,,+-0.05,+-0.05,,
30,60.328,0.5136,,+-0.05,+-0.05,,
30,64.6,0.421,,+-0.05,+-0.05,,
30,64.528,0.4166,,+-0.05,+-0.05,,
30,68.309,0.3147,,+-0.05,+-0.05,,
30,71.448,0.2052,,+-0.05,+-0.05,,
30,73.866,0.097,,+-0.05,+-0.05,,
30,74.787,0.0446,,+-0.05,+-0.05,,
30,75.085,0.0238,,+-0.05,+-0.05,,
30,74.888,0.0,,+-0.05,+-0.05,,
