"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.48,22080,0.1026,,0.003,+-0.01,,
322.9,66368,0.1026,,0.003,+-0.01,,
298.47,24095,0.1983,,0.003,+-0.01,,
322.9,70782,0.1983,,0.003,+-0.01,,
298.45,25032,0.2886,,0.003,+-0.01,,
322.89,72610,0.2886,,0.003,+-0.01,,
298.49,25461,0.3336,,0.003,+-0.01,,
322.91,73238,0.3336,,0.003,+-0.01,,
298.46,25684,0.3856,,0.003,+-0.01,,
322.9,73546,0.3856,,0.003,+-0.01,,
