"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
77.81,760.0,0.052,0.13,+-0.02,+-0.10,+-0.002,+-0.002
76.76,760.0,0.084,0.193,+-0.02,+-0.10,+-0.002,+-0.002
73.12,760.0,0.192,0.369,+-0.02,+-0.10,+-0.002,+-0.002
72.4,760.0,0.214,0.403,+-0.02,+-0.10,+-0.002,+-0.002
71.17,760.0,0.255,0.456,+-0.02,+-0.10,+-0.002,+-0.002
69.28,760.0,0.328,0.532,+-0.02,+-0.10,+-0.002,+-0.002
66.87,760.0,0.427,0.62,+-0.02,+-0.10,+-0.002,+-0.002
64.81,760.0,0.522,0.697,+-0.02,+-0.10,+-0.002,+-0.002
63.03,760.0,0.616,0.767,+-0.02,+-0.10,+-0.002,+-0.002
61.31,760.0,0.711,0.827,+-0.02,+-0.10,+-0.002,+-0.002
59.75,760.0,0.806,0.885,+-0.02,+-0.10,+-0.002,+-0.002
58.58,760.0,0.887,0.929,+-0.02,+-0.10,+-0.002,+-0.002
57.78,760.0,0.939,0.962,+-0.02,+-0.10,+-0.002,+-0.002
