"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
35.0,196.36,0.0,,,0.01,,
35.0,215.06,0.024,,,0.01,,
35.0,226.91,0.056,,,0.01,,
35.0,235.68,0.104,,,0.01,,
35.0,242.41,0.172,,,0.01,,
35.0,245.41,0.218,,,0.01,,
35.0,247.08,0.249,,,0.01,,
35.0,248.71,0.299,,,0.01,,
35.0,249.56,0.349,,,0.01,,
35.0,249.86,0.361,,,0.01,,
35.0,249.54,0.4,,,0.01,,
35.0,249.09,0.462,,,0.01,,
35.0,248.39,0.518,,,0.01,,
35.0,247.94,0.579,,,0.01,,
35.0,247.7,0.625,,,0.01,,
35.0,247.89,0.666,,,0.01,,
35.0,248.36,0.712,,,0.01,,
35.0,248.76,0.739,,,0.01,,
35.0,249.46,0.77,,,0.01,,
35.0,249.98,0.787,,,0.01,,
35.0,250.88,0.828,,,0.01,,
35.0,252.64,0.872,,,0.01,,
35.0,254.48,0.92,,,0.01,,
35.0,256.87,0.976,,,0.01,,
35.0,257.62,1.0,,,0.01,,
