"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
110.0,27.11,0.0,0.0,,,,
110.0,26.68,0.0173,0.0039,,,,
110.0,25.82,0.0579,0.0157,,,,
110.0,24.86,0.1,0.0303,,,,
110.0,23.35,0.1713,0.075,,,,
110.0,21.65,0.2617,0.1637,,,,
110.0,20.47,0.3512,0.32,,,,
110.0,21.01,0.4423,0.5299,,,,
110.0,23.98,0.5304,0.7343,,,,
110.0,30.08,0.6173,0.8685,,,,
110.0,35.71,0.6728,0.9273,,,,
110.0,44.7,0.7477,0.9677,,,,
110.0,53.55,0.8119,0.9841,,,,
110.0,62.06,0.8718,0.993,,,,
110.0,68.45,0.9176,0.9965,,,,
110.0,73.35,0.9532,0.9999,,,,
110.0,76.54,0.978,0.9999,,,,
110.0,78.7,0.9944,0.9999,,,,
110.0,79.36,1.0,1.0,,,,
