"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
100.0,0.353,0.0,0.0,,,,
100.0,0.462,0.022,0.228,,,,
100.0,0.517,0.033,0.3,,,,
100.0,0.579,0.052,0.391,,,,
100.0,0.717,0.078,0.498,,,,
100.0,0.869,0.119,0.576,,,,
100.0,1.048,0.162,0.652,,,,
100.0,1.117,0.177,0.664,,,,
100.0,1.241,0.216,0.697,,,,
100.0,1.393,0.261,0.74,,,,
100.0,1.669,0.352,0.794,,,,
100.0,1.82,0.402,0.812,,,,
100.0,1.924,0.44,0.823,,,,
100.0,2.075,0.506,0.835,,,,
100.0,2.206,0.571,0.852,,,,
100.0,2.351,0.632,0.87,,,,
100.0,2.482,0.686,0.885,,,,
100.0,2.62,0.762,0.9,,,,
100.0,2.758,0.82,0.919,,,,
100.0,2.979,0.906,0.953,,,,
100.0,3.047,0.927,0.964,,,,
100.0,3.256,1.0,1.0,,,,
